Company,Revenues ($M),Profits ($M),Assets ($M),Employees,Sector,Industry,City,State
G-III Apparel Group,"$2,807 ",$62.10 ,"$1,915 ","9,961",Apparel,Apparel,New York,NY
AMC Networks,"$2,806 ",$471.30 ,"$5,033 ","2,039",Media,Entertainment,New York,NY
Enable Midstream Partners,"$2,803 ",$436.00 ,"$11,593 ","1,630",Energy,Pipelines,Oklahoma City,OK
Ciena,"$2,802 ","$1,262.00 ","$3,952 ","5,737",Technology,Network and Other Communications Equipment,Hanover,MD
DSW,"$2,800 ",$67.30 ,"$1,414 ","12,000",Retailing,Specialty Retailers: Apparel,Columbus,OH
Convergys,"$2,792 ",$121.40 ,"$2,415 ","115,000",Business Services,Diversified Outsourcing Services,Cincinnati,OH
Park Hotels & Resorts,"$2,791 ","$2,625.00 ","$9,714 ",520,Financials,Real estate,McLean,VA
Pool,"$2,788 ",$191.60 ,"$1,101 ","4,000",Wholesalers,Wholesalers: Diversified,Covington,LA
Fossil Group,"$2,788 ",($478.20),"$1,658 ","12,300",Apparel,Apparel,Richardson,TX
Dominos Pizza,"$2,788 ",$277.90 ,$837 ,"14,200","Hotels, Restaurants &  Leisure",Food Services,Ann Arbor,MI
Crane,"$2,786 ",$171.80 ,"$3,594 ","10,600",Industrials,Industrial Machinery,Stamford,CT
Caleres,"$2,786 ",$87.20 ,"$1,489 ","12,000",Retailing,Specialty Retailers: Apparel,St. Louis,MO
Tempur Sealy International,"$2,754 ",$151.40 ,"$2,694 ","7,000",Household Products,"Home Equipment, Furnishings",Lexington,KY
Tetra Tech,"$2,753 ",$117.90 ,"$1,903 ","16,000",Engineering &  Construction,"Engineering, Construction",Pasadena,CA
Illumina,"$2,752 ",$726.00 ,"$5,257 ","6,200",Technology,"Scientific,Photographic and  Control Equipment",San Diego,CA
Valmont Industries,"$2,746 ",$116.20 ,"$2,602 ","10,690",Materials,Metals,Omaha,NE
Hill-Rom Holdings,"$2,744 ",$133.60 ,"$4,529 ","10,000",Health Care,Medical Products and Equipment,Chicago,IL
Unisys,"$2,742 ",($65.30),"$2,542 ","20,500",Technology,Information Technology Services,Blue Bell,PA
Zions Bancorp.,"$2,736 ",$592.00 ,"$66,288 ","10,083",Financials,Commercial Banks,Salt Lake City,UT
Sinclair Broadcast Group,"$2,734 ",$576.00 ,"$6,785 ","8,900",Media,Entertainment,Cockeysville,MD
Louisiana-Pacific,"$2,734 ",$389.80 ,"$2,449 ","5,000",Materials,"Building Materials, Glass",Nashville,TN
Mettler-Toledo International,"$2,725 ",$376.00 ,"$2,550 ","14,600",Technology,"Scientific,Photographic and  Control Equipment",Columbus,OH
Synopsys,"$2,725 ",$136.60 ,"$5,396 ","11,686",Technology,Computer Software,Mountain View,CA
Kemper,"$2,723 ",$120.90 ,"$8,376 ","5,550",Financials,Insurance: Property and Casualty (Stock),Chicago,IL
Cabot,"$2,717 ",$241.00 ,"$3,314 ","4,500",Chemicals,Chemicals,Boston,MA
Great Plains Energy,"$2,708 ",($106.20),"$12,458 ","2,709",Energy,Utilities: Gas and Electric,KCMO,MO
Rent-A-Center,"$2,703 ",$6.70 ,"$1,421 ","18,300",Retailing,Specialty Retailers: Other,Plano,TX
Hawaiian Holdings,"$2,696 ",$364.00 ,"$2,860 ","6,660",Transportation,Airlines,Honolulu,HI
Revlon,"$2,694 ",($183.20),"$3,057 ","7,800",Household Products,Household and Personal Products,New York,NY
Syneos Health,"$2,672 ",($138.50),"$7,286 ","21,000",Health Care,Health Care: Pharmacy and Other Services,Raleigh,NC
Public Storage,"$2,669 ","$1,442.20 ","$10,733 ","5,600",Financials,Real estate,Glendale,CA
TTM Technologies,"$2,659 ",$124.20 ,"$2,782 ","29,000",Technology,Semiconductors and Other Electronic Components,Costa Mesa,CA
