Company,Revenues ($M),Profits ($M),Assets ($M),Employees,Sector,Industry,City,State,revenue,employees
Symantec,"$4,191 ",($106.00),"$18,174 ","13,000",Technology,Computer Software,Mountain View,CA,4191.0,13000
Amkor Technology,"$4,187 ",$260.70 ,"$4,522 ","29,300",Technology,Semiconductors and Other Electronic Components,Tempe,AZ,4187.0,29300
Skechers U.S.A.,"$4,181 ",$179.20 ,"$2,735 ","8,150",Apparel,Apparel,Manhattan Beach,CA,4181.0,8150
KBR,"$4,171 ",$434.00 ,"$3,674 ","20,000",Engineering &  Construction,"Engineering, Construction",Houston,TX,4171.0,20000
Tiffany,"$4,170 ",$370.10 ,"$5,468 ","13,100",Retailing,Specialty Retailers: Other,New York,NY,4170.0,13100
Torchmark,"$4,156 ","$1,454.50 ","$23,475 ","3,102",Financials,"Insurance: Life, Health (stock)",McKinney,TX,4156.0,3102
Broadridge Financial Solutions,"$4,143 ",$326.80 ,"$3,150 ","10,000",Business Services,Financial Data Services,Lake Success,NY,4143.0,10000
Quad/Graphics,"$4,131.40 ",$107.20 ,"$2,452.40 ",21100,Media,"Publishing, Printing",Sussex,WI,4131.4,21100
CF Industries Holdings,"$4,130 ",$357.70 ,"$13,463 ","2,950",Chemicals,Chemicals,Deerfield,IL,4130.0,2950
Carlisle,"$4,090 ",$365.50 ,"$5,300 ","14,800",Materials,"Building Materials, Glass",Scottsdale,AZ,4090.0,14800
Silgan Holdings,"$4,090 ",$269.70 ,"$4,645 ","12,515",Materials,"Packaging, Containers",Stamford,CT,4090.0,12515
Bemis,"$4,046 ",$94.00 ,"$3,700 ","16,582",Materials,"Packaging, Containers",Neenah,WI,4046.0,16582
CA,"$4,036 ",$775.00 ,"$12,610 ","11,800",Technology,Computer Software,New York,NY,4036.0,11800
Hub Group,"$4,035 ",$135.20 ,"$1,671 ","4,377",Transportation,Transportation and Logistics,Oak Brook,IL,4035.0,4377
Worldpay,"$4,027 ",$130.10 ,"$8,667 ","3,560",Business Services,Financial Data Services,Cincinnati,OH,4027.0,3560
Ingles Markets,"$4,003 ",$53.90 ,"$1,733 ","17,250",Food &  Drug Stores,Food and Drug Stores,Black Mountain,NC,4003.0,17250
Snap-on,"$4,000 ",$557.70 ,"$5,249 ","12,600",Industrials,Industrial Machinery,Kenosha,WI,4000.0,12600
Dentsply Sirona,"$3,993 ","($1,550.00)","$10,375 ","16,100",Health Care,Medical Products and Equipment,York,PA,3993.0,16100
Calumet Specialty Products,"$3,992 ",($103.80),"$2,689 ","1,600",Energy,Petroleum Refining,Indianapolis,IN,3992.0,1600
Global Payments,"$3,975 ",$468.40 ,"$12,998 ","10,000",Business Services,Financial Data Services,Atlanta,GA,3975.0,10000
Encompass Health,"$3,971.40 ",$256.30 ,"$4,893.70 ",30935,Health Care,Health Care: Medical Facilities,Birmingham,AL,3971.4,30935
Martin Marietta Materials,"$3,966 ",$713.30 ,"$8,993 ","8,406",Materials,"Building Materials, Glass",Raleigh,NC,3966.0,8406
Nasdaq,"$3,965 ",$734.00 ,"$15,786 ","4,734",Financials,Securities,New York,NY,3965.0,4734
Leggett & Platt,"$3,944 ",$292.60 ,"$3,551 ","22,200",Household Products,"Home Equipment, Furnishings",Carthage,MO,3944.0,22200
Universal Forest Products,"$3,941 ",$119.50 ,"$1,465 ","10,000",Materials,"Building Materials, Glass",Grand Rapids,MI,3941.0,10000
Sally Beauty Holdings,"$3,938 ",$215.10 ,"$2,123 ","21,755",Retailing,Specialty Retailers: Other,Denton,TX,3938.0,21755
Flowers Foods,"$3,921 ",$150.10 ,"$2,660 ","9,800","Food, Beverages &  Tobacco",Food Consumer Products,Thomasville,GA,3921.0,9800
Barnes & Noble,"$3,895 ",$22.00 ,"$1,933 ","18,592",Retailing,Specialty Retailers: Other,New York,NY,3895.0,18592
American Equity Investment Life,"$3,892 ",$174.60 ,"$62,031 ",515,Financials,"Insurance: Life, Health (stock)",West Des Moines,IA,3892.0,515
Vulcan Materials,"$3,890 ",$601.20 ,"$9,505 ","8,287",Materials,"Building Materials, Glass",Birmingham,AL,3890.0,8287
Taylor Morrison Home,"$3,885 ",$91.20 ,"$4,326 ","1,800",Engineering &  Construction,Homebuilders,Scottsdale,AZ,3885.0,1800
Westinghouse Air Brake,"$3,882 ",$262.30 ,"$6,580 ","18,000",Industrials,Industrial Machinery,Wilmerding,PA,3882.0,18000
Crestwood Equity Partners,"$3,881 ",($191.90),"$4,285 ",954,Energy,Energy,Houston,TX,3881.0,954
Iron Mountain,"$3,846 ",$183.80 ,"$10,972 ","24,000",Business Services,Diversified Outsourcing Services,Boston,MA,3846.0,24000
Lennox International,"$3,840 ",$305.70 ,"$1,892 ","11,450",Industrials,Industrial Machinery,Richardson,TX,3840.0,11450
General Cable,"$3,837 ",($56.60),"$2,235 ","8,500",Industrials,"Electronics, Electrical Equip.",Highland Heights,KY,3837.0,8500
American Eagle Outfitters,"$3,796 ",$204.20 ,"$1,816 ","24,100",Retailing,Specialty Retailers: Apparel,Pittsburgh,PA,3796.0,24100
Church & Dwight,"$3,776 ",$743.40 ,"$6,015 ","4,700",Household Products,Household and Personal Products,Ewing Township,NJ,3776.0,4700
Platform Specialty Products,"$3,776 ",($296.20),"$10,252 ","7,850",Chemicals,Chemicals,West Palm Beach,FL,3776.0,7850
JELD-WEN Holding,"$3,764 ",$10.80 ,"$2,863 ","21,000",Materials,"Building Materials, Glass",Charlotte,NC,3764.0,21000
OneMain Holdings,"$3,756 ",$183.00 ,"$19,433 ","10,100",Financials,Diversified Financials,Evansville,IN,3756.0,10100
Colfax,"$3,737 ",$151.10 ,"$6,710 ","14,300",Industrials,Industrial Machinery,Annapolis Junction,MD,3737.0,14300
Zebra Technologies,"$3,722 ",$17.00 ,"$4,275 ","7,000",Industrials,"Electronics, Electrical Equip.",Lincolnshire,IL,3722.0,7000
Andersons,"$3,686 ",$42.50 ,"$2,162 ","1,819","Food, Beverages &  Tobacco",Food Production,Maumee,OH,3686.0,1819
TD Ameritrade Holding,"$3,685 ",$872.00 ,"$38,627 ","10,412",Financials,Securities,Omaha,NE,3685.0,10412
Carlyle Group,"$3,676 ",$244.10 ,"$12,281 ","1,600",Financials,Securities,Leavenworth,WA,3676.0,1600
